"spid","CCNAME","DNAME","CLNAME","FEACODE","SAREA","EFEACODE","CCODE","DCODE","CLCODE","EACODE","TOTAL","MALE","FEMALE","HH","CCODE1","DCODE1","CLCODE1","EACODE1","lon","lat","d","gmap"
20,"Grand Bassa","District # 3","Gbayah",91409022,"SA23",914009022,9,14,9,22,382,192,190,94,9,14,9,22,-9.46480108319647,6.33020338865094,6.15917175281837,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.33020338865094%2C-9.46480108319647&z=16"
20,"Grand Bassa","District # 3","Gbayah",91409032,"SA23",914009032,9,14,9,32,610,280,330,153,9,14,9,32,-9.44584033784418,6.24589005464698,3.91479061875193,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.24589005464698%2C-9.44584033784418&z=16"
21,"Grand Bassa","District # 1","Mehwein",90409012,"SA72",904009012,9,4,9,12,384,205,179,97,9,4,9,12,-10.197203118085,6.46549809039073,4.70785588905829,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.46549809039073%2C-10.197203118085&z=16"
21,"Grand Bassa","District # 1","Mehwein",90409022,"SA72",904009022,9,4,9,22,330,160,170,85,9,4,9,22,-10.1749635332939,6.43852142331376,3.7139128199367,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.43852142331376%2C-10.1749635332939&z=16"
21,"Grand Bassa","District # 1","Sayewein",90406012,"SA73",904006012,9,4,6,12,366,208,158,124,9,4,6,12,-10.166715957211,6.39747283859931,0.917102494937729,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.39747283859931%2C-10.166715957211&z=16"
22,"Grand Bassa","District # 2","Karblee",90611022,"SA69",906011022,9,6,11,22,408,197,211,117,9,6,11,22,-10.0204066855451,6.43598734731174,6.36785840986514,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.43598734731174%2C-10.0204066855451&z=16"
22,"Grand Bassa","District # 2","Karblee",90611032,"SA69",906011032,9,6,11,32,483,245,238,92,9,6,11,32,-9.96452440051061,6.40701186269674,5.71551361330078,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.40701186269674%2C-9.96452440051061&z=16"
22,"Grand Bassa","District # 2","Karblee",90611012,"SA69",906011012,9,6,11,12,411,212,199,94,9,6,11,12,-10.0288144912466,6.38011859996842,0.712819467352923,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.38011859996842%2C-10.0288144912466&z=16"
23,"Grand Bassa","District # 2","Gogowein",90606012,"SA63",906006012,9,6,6,12,584,278,306,134,9,6,6,12,-9.8459872704253,6.46175558065729,5.92591408928644,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.46175558065729%2C-9.8459872704253&z=16"
23,"Grand Bassa","District # 2","Gogowein",90606022,"SA63",906006022,9,6,6,22,421,200,221,94,9,6,6,22,-9.83948089606819,6.42071284678732,3.84697167995085,"https://www.google.com/maps/d/u/3/viewer?mid=1tCqB8Il5LJCJDCQ4Ryzz38Lw682WfBhw&ll=6.42071284678732%2C-9.83948089606819&z=16"
